date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2001,ARG,ARS,Argentina,2.5,1,2.5,-0.01575,0.10541,-0.12148,0.05442,1.09091,,,,,,,
4/1/2001,AUS,AUD,Australia,3,1.98,1.515151515,-0.40348,-0.33005,-0.46756,-0.36096,0.26722,,,,,,,
4/1/2001,BRA,BRL,Brazil,3.6,2.19,1.643835616,-0.35282,-0.27315,-0.42234,-0.30668,0.37484,,,,,,,
4/1/2001,CAN,CAD,Canada,3.33,1.56,2.134615385,-0.1596,-0.05615,-0.24988,-0.09969,0.78531,,,,,,,
4/1/2001,CHE,CHF,Switzerland,6.3,1.73,3.641618497,0.43371,0.6102,0.27969,0.53592,2.04572,,,,,,,
4/1/2001,CHL,CLP,Chile,1260,601,2.096505824,-0.1746,-0.073,-0.26327,-0.11576,0.75344,,,,,,,
4/1/2001,CHN,CNY,China,9.9,8.28,1.195652174,-0.52927,-0.47132,-0.57984,-0.49571,0,,,,,,,
4/1/2001,CZE,CZK,Czech Republic,56,39,1.435897436,-0.43469,-0.3651,-0.49542,-0.39438,0.20093,,,,,,,
4/1/2001,DNK,DKK,Denmark,24.75,8.46,2.925531915,0.15178,0.29357,0.02805,0.2339,1.44681,,,,,,,
4/1/2001,EUZ,EUR,Euro area,2.57,1.136363636,2.261600001,-0.10961,0,-0.20526,-0.04613,0.89152,,,,,,,
4/1/2001,GBR,GBP,Britain,1.99,0.699300699,2.845700001,0.12035,0.25827,0,0.20023,1.38004,,,,,,,
4/1/2001,HKG,HKD,Hong Kong,10.7,7.8,1.371794872,-0.45992,-0.39344,-0.51794,-0.42142,0.14732,,,,,,,
4/1/2001,HUN,HUF,Hungary,399,303,1.316831683,-0.48156,-0.41774,-0.53726,-0.4446,0.10135,,,,,,,
4/1/2001,IDN,IDR,Indonesia,14700,10855,1.354214648,-0.46684,-0.40121,-0.52412,-0.42883,0.13262,,,,,,,
4/1/2001,JPN,JPY,Japan,294,124,2.370967742,-0.06655,0.04836,-0.16682,0,0.98299,,,,,,,
4/1/2001,KOR,KRW,South Korea,3000,1325,2.264150943,-0.1086,0.00113,-0.20436,-0.04505,0.89365,,,,,,,
4/1/2001,MEX,MXN,Mexico,21.9,9.29,2.35737352,-0.0719,0.04235,-0.1716,-0.00573,0.97162,,,,,,,
4/1/2001,MYS,MYR,Malaysia,4.52,3.8,1.189473684,-0.5317,-0.47406,-0.58201,-0.49832,-0.00517,,,,,,,
4/1/2001,NZL,NZD,New Zealand,3.6,2.47,1.457489879,-0.42619,-0.35555,-0.48783,-0.38528,0.21899,,,,,,,
4/1/2001,PHL,PHP,Philippines,59,50.3,1.172962227,-0.5382,-0.48136,-0.58781,-0.50528,-0.01898,,,,,,,
4/1/2001,POL,PLN,Poland,5.9,4.03,1.464019851,-0.42361,-0.35266,-0.48553,-0.38252,0.22445,,,,,,,
4/1/2001,RUS,RUB,Russia,35,28.9,1.211072664,-0.5232,-0.46451,-0.57442,-0.48921,0.0129,,,,,,,
4/1/2001,SGP,SGD,Singapore,3.3,1.81,1.82320442,-0.2822,-0.19384,-0.35931,-0.23103,0.52486,,,,,,,
4/1/2001,SWE,SEK,Sweden,24,10.28,2.33463035,-0.08085,0.03229,-0.17959,-0.01533,0.9526,,,,,,,
4/1/2001,THA,THB,Thailand,55,45.5,1.208791209,-0.5241,-0.46552,-0.57522,-0.49017,0.01099,,,,,,,
4/1/2001,TWN,TWD,Taiwan,70,32.9,2.127659574,-0.16234,-0.05922,-0.25232,-0.10262,0.7795,,,,,,,
4/1/2001,USA,USD,United States,2.54,1,2.54,0,0.1231,-0.10743,0.07129,1.12436,,,,,,,
4/1/2001,ZAF,ZAR,South Africa,9.7,8.13,1.193111931,-0.53027,-0.47245,-0.58073,-0.49678,-0.00212,,,,,,,
4/1/2002,ARG,ARS,Argentina,2.5,3.13,0.798722045,-0.67923,-0.66388,-0.72319,-0.60369,-0.37015,,,,,,,
4/1/2002,AUS,AUD,Australia,3,1.86,1.612903226,-0.35225,-0.32125,-0.44103,-0.1997,0.27189,,,,,,,
4/1/2002,BRA,BRL,Brazil,3.6,2.34,1.538461538,-0.38214,-0.35258,-0.46683,-0.23664,0.21319,,,,,,,
4/1/2002,CAN,CAD,Canada,3.33,1.57,2.121019108,-0.14819,-0.10743,-0.26494,0.05241,0.67258,,,,,,,
4/1/2002,CHE,CHF,Switzerland,6.3,1.66,3.795180723,0.52417,0.5971,0.31526,0.8831,1.99277,,,,,,,
4/1/2002,CHL,CLP,Chile,1400,655,2.13740458,-0.1416,-0.10053,-0.25926,0.06054,0.6855,,,,,,,
4/1/2002,CHN,CNY,China,10.5,8.28,1.268115942,-0.49072,-0.46635,-0.56052,-0.37078,0,,,,,,,
4/1/2002,CZE,CZK,Czech Republic,56.28,34,1.655294118,-0.33522,-0.30342,-0.42634,-0.17867,0.30532,,,,,,,
4/1/2002,DNK,DKK,Denmark,24.75,8.38,2.953460621,0.18613,0.24288,0.02355,0.46546,1.32901,,,,,,,
4/1/2002,EUZ,EUR,Euro area,2.67,1.123595506,2.376299999,-0.04566,0,-0.17647,0.17908,0.87388,,,,,,,
4/1/2002,GBR,GBP,Britain,1.99,0.689655172,2.885500002,0.15884,0.21428,0,0.43174,1.27542,,,,,,,
4/1/2002,HKG,HKD,Hong Kong,11.2,8,1.4,-0.43775,-0.41085,-0.51482,-0.30534,0.104,,,,,,,
4/1/2002,HUN,HUF,Hungary,459,272,1.6875,-0.32229,-0.28986,-0.41518,-0.16269,0.33071,,,,,,,
4/1/2002,IDN,IDR,Indonesia,16000,9430,1.696712619,-0.31859,-0.28599,-0.41199,-0.15812,0.33798,,,,,,,
4/1/2002,ISR,ILS,Israel,12,4.79,2.505219207,0.00611,0.05425,-0.13179,0.24305,0.97554,,,,,,,
4/1/2002,JPN,JPY,Japan,262,130,2.015384615,-0.19061,-0.15188,-0.30155,0,0.58927,,,,,,,
4/1/2002,KOR,KRW,South Korea,3100,1304,2.377300613,-0.04526,0.00042,-0.17612,0.17958,0.87467,,,,,,,
4/1/2002,MEX,MXN,Mexico,21.9,9.28,2.359913793,-0.05224,-0.0069,-0.18215,0.17095,0.86096,,,,,,,
4/1/2002,MYS,MYR,Malaysia,5.04,3.8,1.326315789,-0.46734,-0.44186,-0.54035,-0.3419,0.04589,,,,,,,
4/1/2002,NOR,NOK,Norway,35,8.56,4.088785047,0.64208,0.72065,0.41701,1.02879,2.2243,,,,,,,
4/1/2002,NZL,NZD,New Zealand,3.6,2.24,1.607142857,-0.35456,-0.32368,-0.44303,-0.20256,0.26735,,,,,,,
4/1/2002,PER,PEN,Peru,8.5,3.43,2.478134111,-0.00477,0.04285,-0.14118,0.22961,0.95419,,,,,,,
4/1/2002,PHL,PHP,Philippines,65,51,1.274509804,-0.48815,-0.46366,-0.55831,-0.36761,0.00504,,,,,,,
4/1/2002,POL,PLN,Poland,5.9,4.04,1.46039604,-0.4135,-0.38543,-0.49388,-0.27538,0.15163,,,,,,,
4/1/2002,RUS,RUB,Russia,39,31.2,1.25,-0.49799,-0.47397,-0.5668,-0.37977,-0.01429,,,,,,,
4/1/2002,SGP,SGD,Singapore,3.3,1.82,1.813186813,-0.27181,-0.23697,-0.37162,-0.10033,0.42983,,,,,,,
4/1/2002,SWE,SEK,Sweden,26,10.4,2.5,0.00402,0.05206,-0.1336,0.24046,0.97143,,,,,,,
4/1/2002,THA,THB,Thailand,55,43.3,1.270207852,-0.48988,-0.46547,-0.5598,-0.36974,0.00165,,,,,,,
4/1/2002,TUR,TRY,Turkey,4.00E+06,1324500,3.02000755,0.21285,0.27089,0.04661,0.49848,1.38149,,,,,,,
4/1/2002,TWN,TWD,Taiwan,70,34.8,2.011494253,-0.19217,-0.15352,-0.3029,-0.00193,0.58621,,,,,,,
4/1/2002,USA,USD,United States,2.49,1,2.49,0,0.04785,-0.13706,0.2355,0.96354,,,,,,,
4/1/2002,ZAF,ZAR,South Africa,9.7,10.9,0.889908257,-0.64261,-0.62551,-0.69159,-0.55844,-0.29824,,,,,,,
4/1/2003,ARG,ARS,Argentina,4.1,2.88,1.423611111,-0.47468,-0.52244,-0.54723,-0.34796,0.19066,,,,,,,
4/1/2003,AUS,AUD,Australia,3,1.61,1.863354037,-0.31242,-0.37492,-0.40737,-0.14656,0.55844,,,,,,,
4/1/2003,BRA,BRL,Brazil,4.55,3.07,1.482084691,-0.45311,-0.50282,-0.52863,-0.32118,0.23956,,,,,,,
4/1/2003,CAN,CAD,Canada,3.2,1.45,2.206896552,-0.18565,-0.25968,-0.29811,0.01079,0.84577,,,,,,,
4/1/2003,CHE,CHF,Switzerland,6.3,1.37,4.598540146,0.69688,0.54262,0.46255,1.1062,2.84605,,,,,,,
4/1/2003,CHL,CLP,Chile,1400,716,1.955307263,-0.27848,-0.34408,-0.37812,-0.10444,0.63535,,,,,,,
4/1/2003,CHN,CNY,China,9.9,8.28,1.195652174,-0.5588,-0.59891,-0.61973,-0.45237,0,,,,,,,
4/1/2003,CZE,CZK,Czech Republic,56.57,28.9,1.957439446,-0.2777,-0.34336,-0.37744,-0.10346,0.63713,,,,,,,
4/1/2003,DNK,DKK,Denmark,27.75,6.78,4.092920354,0.5103,0.373,0.30174,0.87462,2.42317,,,,,,,
4/1/2003,EGY,EGP,Egypt,8,5.92,1.351351351,-0.50135,-0.54668,-0.57021,-0.38106,0.13022,,,,,,,
4/1/2003,EUZ,EUR,Euro area,2.71,0.909090909,2.981,0.1,0,-0.05191,0.36534,1.4932,,,,,,,
4/1/2003,GBR,GBP,Britain,1.99,0.632911392,3.144200002,0.16022,0.05475,0,0.44009,1.62969,,,,,,,
4/1/2003,HKG,HKD,Hong Kong,11.5,7.8,1.474358974,-0.45596,-0.50541,-0.53109,-0.32472,0.2331,,,,,,,
4/1/2003,HUN,HUF,Hungary,490,224,2.1875,-0.1928,-0.26619,-0.30427,0.00191,0.82955,,,,,,,
4/1/2003,IDN,IDR,Indonesia,16100,8740,1.842105263,-0.32026,-0.38205,-0.41413,-0.15629,0.54067,,,,,,,
4/1/2003,JPN,JPY,Japan,262,120,2.183333333,-0.19434,-0.26758,-0.3056,0,0.82606,,,,,,,
4/1/2003,KOR,KRW,South Korea,3300,1220,2.704918033,-0.00188,-0.09261,-0.13971,0.23889,1.2623,,,,,,,
4/1/2003,MEX,MXN,Mexico,23,10.53,2.184235518,-0.19401,-0.26728,-0.30531,0.00041,0.82682,,,,,,,
4/1/2003,MYS,MYR,Malaysia,5.04,3.8,1.326315789,-0.51058,-0.55508,-0.57817,-0.39253,0.10928,,,,,,,
4/1/2003,NZL,NZD,New Zealand,3.95,1.78,2.219101124,-0.18114,-0.25558,-0.29422,0.01638,0.85598,,,,,,,
4/1/2003,PER,PEN,Peru,7.9,3.46,2.283236994,-0.15748,-0.23407,-0.27383,0.04576,0.90962,,,,,,,
4/1/2003,PHL,PHP,Philippines,65,52.5,1.238095238,-0.54314,-0.58467,-0.60623,-0.43293,0.0355,,,,,,,
4/1/2003,POL,PLN,Poland,6.3,3.89,1.619537275,-0.40238,-0.45671,-0.48491,-0.25823,0.35452,,,,,,,
4/1/2003,RUS,RUB,Russia,41,31.1,1.318327974,-0.51353,-0.55776,-0.58071,-0.39619,0.1026,,,,,,,
4/1/2003,SGP,SGD,Singapore,3.3,1.78,1.853932584,-0.31589,-0.37808,-0.41036,-0.15087,0.55056,,,,,,,
4/1/2003,SWE,SEK,Sweden,30,8.34,3.597122302,0.32735,0.20668,0.14405,0.64754,2.0085,,,,,,,
4/1/2003,THA,THB,Thailand,59,42.7,1.381733021,-0.49014,-0.53649,-0.56055,-0.36715,0.15563,,,,,,,
4/1/2003,TUR,TRY,Turkey,3750000,1600500,2.343017807,-0.13542,-0.21402,-0.25481,0.07314,0.95961,,,,,,,
4/1/2003,TWN,TWD,Taiwan,70,34.8,2.011494253,-0.25775,-0.32523,-0.36025,-0.0787,0.68234,,,,,,,
4/1/2003,USA,USD,United States,2.71,1,2.71,0,-0.09091,-0.1381,0.24122,1.26655,,,,,,,
4/1/2003,ZAF,ZAR,South Africa,13.95,7.56,1.845238095,-0.3191,-0.381,-0.41313,-0.15485,0.54329,,,,,,,
5/1/2004,ARG,ARS,Argentina,4.36,2.95,1.477966102,-0.49036,-0.5505,-0.56081,-0.36256,0.17669,,,,,,,
5/1/2004,AUS,AUD,Australia,3.25,1.43,2.272727273,-0.2163,-0.30878,-0.32464,-0.01978,0.80944,,,,,,,
5/1/2004,BRA,BRL,Brazil,5.4,3.18,1.698113208,-0.41444,-0.48354,-0.49539,-0.26761,0.35196,,,,,,,
5/1/2004,CAN,CAD,Canada,3.19,1.37,2.328467153,-0.19708,-0.29183,-0.30807,0.00426,0.85382,,,,,,,
5/1/2004,CHE,CHF,Switzerland,6.3,1.29,4.88372093,0.68404,0.48532,0.45124,1.10634,2.88819,,,,,,,
5/1/2004,CHL,CLP,Chile,1400,641,2.184087363,-0.24687,-0.33574,-0.35098,-0.05801,0.73887,,,,,,,
5/1/2004,CHN,CNY,China,10.4,8.28,1.256038647,-0.56688,-0.61799,-0.62676,-0.45827,0,,,,,,,
5/1/2004,COL,COP,Colombia,6500,2769.83,2.346714419,-0.19079,-0.28628,-0.30265,0.01213,0.86835,,,,,,,
5/1/2004,CRI,CRC,Costa Rica,1130,433.55,2.606389113,-0.10125,-0.2073,-0.22549,0.12413,1.07509,,,,,,,
5/1/2004,CZE,CZK,Czech Republic,56.42,26.5,2.129056604,-0.26584,-0.35248,-0.36733,-0.08174,0.69506,,,,,,,
5/1/2004,DNK,DKK,Denmark,27.75,6.22,4.461414791,0.53842,0.35688,0.32575,0.9242,2.55197,,,,,,,
5/1/2004,EGY,EGP,Egypt,10,6.19,1.615508885,-0.44293,-0.50867,-0.51994,-0.30323,0.28619,,,,,,,
5/1/2004,EUZ,EUR,Euro area,2.74,0.833333333,3.288000001,0.13379,0,-0.02294,0.41811,1.61775,,,,,,,
5/1/2004,GBR,GBP,Britain,1.88,0.558659218,3.365199999,0.16041,0.02348,0,0.4514,1.67922,,,,,,,
5/1/2004,HKG,HKD,Hong Kong,12,7.79,1.540436457,-0.46882,-0.5315,-0.54225,-0.33561,0.22642,,,,,,,
5/1/2004,HUN,HUF,Hungary,530,211,2.511848341,-0.13385,-0.23606,-0.25358,0.08335,0.99982,,,,,,,
5/1/2004,IDN,IDR,Indonesia,16100,9120,1.765350877,-0.39126,-0.46309,-0.47541,-0.23861,0.40549,,,,,,,
5/1/2004,JPN,JPY,Japan,262,113,2.318584071,-0.20049,-0.29483,-0.31101,0,0.84595,,,,,,,
5/1/2004,KOR,KRW,South Korea,3200,1177,2.718776551,-0.06249,-0.17312,-0.19209,0.1726,1.16456,,,,,,,
5/1/2004,LKA,LKR,Sri Lanka,140,99,1.414141414,-0.51237,-0.56991,-0.57977,-0.39008,0.12587,,,,,,,
5/1/2004,MEX,MXN,Mexico,24,11.6,2.068965517,-0.28656,-0.37075,-0.38519,-0.10766,0.64721,,,,,,,
5/1/2004,MYS,MYR,Malaysia,5.04,3.8,1.326315789,-0.54265,-0.59662,-0.60587,-0.42796,0.05595,,,,,,,
5/1/2004,NOR,NOK,Norway,35.5,6.8491,5.183162751,0.7873,0.57639,0.54022,1.23549,3.12659,,,,,,,
5/1/2004,NZL,NZD,New Zealand,4.35,1.64,2.652439024,-0.08537,-0.1933,-0.2118,0.14399,1.11175,,,,,,,
5/1/2004,PAK,PKR,Pakistan,110,57.76,1.904432133,-0.3433,-0.42079,-0.43408,-0.17862,0.51622,,,,,,,
5/1/2004,PER,PEN,Peru,8.99,3.49,2.575931232,-0.11175,-0.21657,-0.23454,0.11099,1.05084,,,,,,,
5/1/2004,PHL,PHP,Philippines,69,55.9,1.234347048,-0.57436,-0.62459,-0.6332,-0.46763,-0.01727,,,,,,,
5/1/2004,POL,PLN,Poland,6.3,3.87,1.627906977,-0.43865,-0.50489,-0.51625,-0.29789,0.29606,,,,,,,
5/1/2004,RUS,RUB,Russia,42,29,1.448275862,-0.50059,-0.55953,-0.56963,-0.37536,0.15305,,,,,,,
5/1/2004,SAU,SAR,Saudi Arabia,2.4,3.7502,0.639965868,-0.77932,-0.80536,-0.80983,-0.72398,-0.49049,,,,,,,
5/1/2004,SGP,SGD,Singapore,3.3,1.71,1.929824561,-0.33454,-0.41307,-0.42653,-0.16767,0.53644,,,,,,,
5/1/2004,SWE,SEK,Sweden,30,7.61,3.94218134,0.35937,0.19896,0.17146,0.70025,2.13858,,,,,,,
5/1/2004,THA,THB,Thailand,59,40.8,1.446078431,-0.50135,-0.5602,-0.57028,-0.37631,0.1513,,,,,,,
5/1/2004,TUR,TRY,Turkey,3950000,1531000,2.580013063,-0.11034,-0.21532,-0.23333,0.11275,1.05409,,,,,,,
5/1/2004,TWN,TWD,Taiwan,75,33.4,2.245508982,-0.22569,-0.31706,-0.33273,-0.03152,0.78777,,,,,,,
5/1/2004,UKR,UAH,Ukraine,7.25,5.3315,1.359842446,-0.53109,-0.58642,-0.59591,-0.4135,0.08264,,,,,,,
5/1/2004,URY,UYU,Uruguay,29.8,29.735,1.002185976,-0.65442,-0.6952,-0.70219,-0.56776,-0.20211,,,,,,,
5/1/2004,USA,USD,United States,2.9,1,2.9,0,-0.118,-0.13824,0.25076,1.30885,,,,,,,
5/1/2004,ZAF,ZAR,South Africa,12.4,6.66,1.861861862,-0.35798,-0.43374,-0.44673,-0.19698,0.48233,,,,,,,
6/1/2005,ARE,AED,UAE,9,3.6725,2.450646698,-0.19914,-0.31606,-0.28769,0.04608,0.93167,,,,,,,
6/1/2005,ARG,ARS,Argentina,4.75,2.897,1.639627201,-0.46417,-0.5424,-0.52342,-0.30011,0.2924,,,,,,,
6/1/2005,AUS,AUD,Australia,3.25,1.3015,2.497118709,-0.18395,-0.30309,-0.27418,0.06592,0.9683,,,,,,,
6/1/2005,BRA,BRL,Brazil,5.9,2.4648,2.393703343,-0.21774,-0.33195,-0.30424,0.02178,0.88679,,,,,,,
6/1/2005,CAN,CAD,Canada,3.28,1.2494,2.625260125,-0.14207,-0.26733,-0.23693,0.12062,1.06931,,,,,,,
6/1/2005,CHE,CHF,Switzerland,6.3,1.2475,5.0501002,0.65036,0.40941,0.46788,1.15569,2.98063,,,,,,,
6/1/2005,CHL,CLP,Chile,1500,592.45,2.531859229,-0.1726,-0.29339,-0.26408,0.08075,0.99568,,,,,,,
6/1/2005,CHN,CNY,China,10.5,8.2764,1.268667537,-0.5854,-0.64593,-0.63124,-0.45846,0,,,,,,,
6/1/2005,COL,COP,Colombia,6500,2327.7,2.792456073,-0.08743,-0.22067,-0.18833,0.19199,1.20109,,,,,,,
6/1/2005,CRI,CRC,Costa Rica,1130,475.3,2.377445824,-0.22306,-0.33649,-0.30896,0.01484,0.87397,,,,,,,
6/1/2005,CZE,CZK,Czech Republic,56.42,24.5409,2.299019188,-0.24869,-0.35838,-0.33176,-0.01864,0.81215,,,,,,,
6/1/2005,DNK,DKK,Denmark,27.75,6.0647,4.575659142,0.49531,0.277,0.32998,0.95317,2.60667,,,,,,,
6/1/2005,EGY,EGP,Egypt,9,5.8,1.551724138,-0.4929,-0.56694,-0.54897,-0.33763,0.22311,,,,,,,
6/1/2005,EUZ,EUR,Euro area,2.92,0.814929509,3.583131998,0.17096,0,0.04149,0.5295,1.82433,,,,,,,
6/1/2005,GBR,GBP,Britain,1.88,0.546448087,3.440400003,0.12431,-0.03983,0,0.46857,1.71182,,,,,,,
6/1/2005,HKG,HKD,Hong Kong,12,7.7807,1.542277687,-0.49599,-0.56957,-0.55172,-0.34166,0.21567,,,,,,,
6/1/2005,HUN,HUF,Hungary,530,203.643,2.602593755,-0.14948,-0.27365,-0.24352,0.11094,1.05144,,,,,,,
6/1/2005,IDN,IDR,Indonesia,14600,9545,1.529596647,-0.50013,-0.57311,-0.5554,-0.34708,0.20567,,,,,,,
6/1/2005,JPN,JPY,Japan,250,106.715,2.342688469,-0.23442,-0.34619,-0.31907,0,0.84657,,,,,,,
6/1/2005,KOR,KRW,South Korea,2500,1005.5,2.486325211,-0.18748,-0.3061,-0.27732,0.06131,0.95979,,,,,,,
6/1/2005,LKA,LKR,Sri Lanka,175,99.945,1.75096303,-0.42779,-0.51133,-0.49106,-0.25258,0.38016,,,,,,,
6/1/2005,MEX,MXN,Mexico,28,10.8675,2.576489533,-0.15801,-0.28094,-0.25111,0.0998,1.03086,,,,,,,
6/1/2005,MYS,MYR,Malaysia,5.25,3.8,1.381578947,-0.5485,-0.61442,-0.59842,-0.41026,0.089,,,,,,,
6/1/2005,NOR,NOK,Norway,39,6.4326,6.06286727,0.98133,0.69206,0.76226,1.588,3.77893,,,,,,,
6/1/2005,NZL,NZD,New Zealand,4.45,1.4023,3.173358055,0.03705,-0.11436,-0.07762,0.35458,1.50133,,,,,,,
6/1/2005,PAK,PKR,Pakistan,130,59.62,2.18047635,-0.28743,-0.39146,-0.36621,-0.06924,0.71871,,,,,,,
6/1/2005,PER,PEN,Peru,8.99,3.2546,2.762244208,-0.09731,-0.2291,-0.19712,0.17909,1.17728,,,,,,,
6/1/2005,PHL,PHP,Philippines,80,54.55,1.466544455,-0.52074,-0.59071,-0.57373,-0.37399,0.15597,,,,,,,
6/1/2005,POL,PLN,Poland,6.5,3.3096,1.963983563,-0.35818,-0.45188,-0.42914,-0.16165,0.54807,,,,,,,
6/1/2005,RUS,RUB,Russia,42,28.4055,1.478586893,-0.5168,-0.58735,-0.57023,-0.36885,0.16546,,,,,,,
6/1/2005,SAU,SAR,Saudi Arabia,9,3.7501,2.399936002,-0.21571,-0.33021,-0.30243,0.02444,0.8917,,,,,,,
6/1/2005,SGP,SGD,Singapore,3.6,1.6607,2.167760583,-0.29158,-0.39501,-0.36991,-0.07467,0.70869,,,,,,,
6/1/2005,SWE,SEK,Sweden,31,7.4402,4.166554663,0.36162,0.16282,0.21107,0.77854,2.2842,,,,,,,
6/1/2005,THA,THB,Thailand,60,40.53,1.4803849,-0.51621,-0.58685,-0.56971,-0.36808,0.16688,,,,,,,
6/1/2005,TUR,TRY,Turkey,4,1.369,2.92184076,-0.04515,-0.18456,-0.15073,0.24722,1.30308,,,,,,,
6/1/2005,TWN,TWD,Taiwan,75,31.175,2.405773857,-0.2138,-0.32858,-0.30073,0.02693,0.8963,,,,,,,
6/1/2005,UKR,UAH,Ukraine,7.25,5.06,1.432806324,-0.53176,-0.60012,-0.58353,-0.38839,0.12938,,,,,,,
6/1/2005,URY,UYU,Uruguay,44,24.125,1.823834197,-0.40398,-0.49099,-0.46988,-0.22148,0.4376,,,,,,,
6/1/2005,USA,USD,United States,3.06,1,3.06,0,-0.146,-0.11057,0.30619,1.41198,,,,,,,
6/1/2005,ZAF,ZAR,South Africa,13.95,6.6482,2.098312325,-0.31428,-0.41439,-0.3901,-0.10431,0.65395,,,,,,,
1/1/2006,ARG,ARS,Argentina,4.75,3.0638,1.550362295,-0.50782,-0.55878,-0.53248,-0.29114,0.19069,,,,,,,
1/1/2006,AUS,AUD,Australia,3.25,1.3308,2.442140066,-0.22472,-0.30499,-0.26356,0.1166,0.87559,,,,,,,
1/1/2006,BRA,BRL,Brazil,6.2,2.2615,2.741543224,-0.12967,-0.21978,-0.17327,0.25349,1.10553,,,,,,,
1/1/2006,CAN,CAD,Canada,3.52,1.1704,3.007518797,-0.04523,-0.14409,-0.09306,0.3751,1.3098,,,,,,,
1/1/2006,CHE,CHF,Switzerland,6.3,1.2776,4.931120852,0.56544,0.40335,0.48701,1.25461,2.78715,,,,,,,
